iter	Passed	Remaining
0	71	71536
1	150	75110
2	232	77388
3	309	76962
4	386	76973
5	452	74930
6	532	75469
7	602	74762
8	671	73981
9	737	72981
10	809	72821
11	875	72074
12	935	71060
13	1012	71297
14	1089	71519
15	1162	71502
16	1234	71405
17	1302	71073
18	1376	71083
19	1445	70815
20	1521	70933
21	1594	70901
22	1666	70810
23	1719	69917
24	1795	70021
25	1867	69961
26	1935	69741
27	1992	69154
28	2059	68944
29	2129	68857
30	2188	68413
31	2243	67869
32	2300	67416
33	2367	67253
34	2432	67077
35	2499	66941
36	2564	66758
37	2631	66609
38	2687	66225
39	2765	66363
40	2826	66114
41	2897	66097
42	2962	65936
43	3034	65940
44	3092	65635
45	3161	65569
46	3236	65629
47	3306	65579
48	3375	65506
49	3440	65370
50	3503	65198
51	3570	65088
52	3631	64878
53	3687	64600
54	3742	64298
55	3812	64260
56	3881	64220
57	3946	64096
58	4002	63838
59	4069	63759
60	4138	63707
61	4193	63446
62	4259	63357
63	4328	63301
64	4382	63040
65	4443	62877
66	4505	62740
67	4573	62681
68	4623	62386
69	4699	62441
70	4757	62255
71	4829	62250
72	4889	62091
73	4962	62104
74	5047	62248
75	5125	62309
76	5199	62323
77	5263	62211
78	5324	62069
79	5380	61878
80	5434	61660
81	5502	61599
82	5545	61266
83	5612	61198
84	5672	61059
85	5747	61087
86	5802	60888
87	5850	60633
88	5909	60491
89	5976	60431
90	6042	60358
91	6107	60281
92	6173	60210
93	6240	60149
94	6307	60090
95	6371	60001
96	6440	59952
97	6495	59787
98	6551	59622
99	6612	59512
100	6662	59300
101	6728	59241
102	6780	59050
103	6848	59003
104	6907	58881
105	6969	58782
106	7027	58651
107	7076	58445
108	7136	58338
109	7202	58272
110	7264	58182
111	7314	57994
112	7382	57949
113	7442	57842
114	7506	57765
115	7564	57644
116	7631	57597
117	7692	57501
118	7751	57384
119	7815	57310
120	7876	57220
121	7929	57067
122	7994	57001
123	8067	56995
124	8119	56839
125	8178	56732
126	8242	56659
127	8305	56583
128	8372	56531
129	8443	56505
130	8506	56430
131	8578	56409
132	8647	56371
133	8709	56286
134	8764	56159
135	8833	56118
136	8902	56078
137	8978	56080
138	9048	56047
139	9118	56011
140	9190	55989
141	9267	55994
142	9340	55976
143	9410	55941
144	9467	55828
145	9538	55791
146	9619	55817
147	9696	55822
148	9760	55744
149	9828	55695
150	9899	55657
151	9970	55623
152	10042	55597
153	10109	55537
154	10165	55419
155	10240	55402
156	10315	55389
157	10385	55347
158	10449	55268
159	10502	55140
160	10579	55133
161	10650	55092
162	10719	55046
163	10783	54970
164	10853	54926
165	10934	54935
166	11004	54891
167	11069	54818
168	11128	54721
169	11196	54664
170	11263	54606
171	11345	54615
172	11416	54573
173	11487	54534
174	11553	54468
175	11628	54444
176	11691	54361
177	11770	54357
178	11848	54343
179	11926	54330
180	11979	54204
181	12044	54134
182	12104	54038
183	12173	53986
184	12219	53832
185	12284	53760
186	12350	53695
187	12419	53643
188	12492	53605
189	12559	53543
190	12614	53429
191	12680	53365
192	12752	53322
193	12819	53259
194	12884	53187
195	12951	53127
196	13014	53049
197	13080	52982
198	13135	52870
199	13185	52742
200	13242	52642
201	13314	52599
202	13374	52510
203	13438	52436
204	13508	52387
205	13562	52276
206	13626	52202
207	13673	52066
208	13738	51994
209	13801	51921
210	13862	51836
211	13923	51753
212	13987	51681
213	14061	51646
214	14101	51488
215	14164	51412
216	14240	51384
217	14311	51336
218	14369	51246
219	14422	51134
220	14488	51070
221	14539	50953
222	14596	50858
223	14660	50788
224	14736	50757
225	14802	50693
226	14877	50661
227	14934	50566
228	14997	50494
229	15046	50372
230	15109	50300
231	15176	50238
232	15245	50185
233	15316	50137
234	15375	50052
235	15437	49974
236	15498	49895
237	15565	49834
238	15633	49778
239	15693	49696
240	15760	49636
241	15823	49562
242	15890	49504
243	15953	49431
244	16017	49360
245	16090	49319
246	16159	49262
247	16213	49165
248	16282	49110
249	16339	49018
250	16408	48963
251	16464	48869
252	16532	48814
253	16595	48742
254	16712	48827
255	16782	48774
256	16857	48734
257	16922	48668
258	16989	48607
259	17053	48537
260	17120	48474
261	17171	48368
262	17238	48306
263	17306	48247
264	17373	48186
265	17439	48123
266	17501	48046
267	17555	47948
268	17617	47874
269	17674	47785
270	17739	47719
271	17805	47655
272	17878	47611
273	17942	47541
274	18008	47475
275	18060	47377
276	18124	47306
277	18178	47210
278	18245	47149
279	18311	47087
280	18378	47026
281	18448	46970
282	18513	46904
283	18568	46813
284	18632	46744
285	18694	46671
286	18745	46568
287	18787	46445
288	18855	46388
289	18917	46315
290	18974	46229
291	19039	46163
292	19101	46090
293	19169	46032
294	19222	45937
295	19288	45876
296	19357	45818
297	19422	45753
298	19476	45661
299	19562	45645
300	19624	45573
301	19694	45519
302	19756	45447
303	19820	45379
304	19891	45327
305	19955	45259
306	20017	45186
307	20072	45097
308	20149	45060
309	20218	45002
310	20285	44941
311	20347	44869
312	20413	44804
313	20477	44737
314	20546	44681
315	20600	44591
316	20659	44512
317	20724	44446
318	20789	44382
319	20847	44301
320	20905	44221
321	20959	44132
322	21025	44068
323	21094	44012
324	21154	43935
325	21227	43887
326	21296	43831
327	21360	43762
328	21421	43689
329	21490	43633
330	21559	43574
331	21628	43518
332	21692	43449
333	21759	43387
334	21812	43299
335	21881	43241
336	21941	43166
337	22007	43102
338	22071	43036
339	22129	42956
340	22201	42905
341	22265	42839
342	22331	42774
343	22393	42703
344	22440	42603
345	22499	42528
346	22566	42467
347	22639	42416
348	22703	42349
349	22766	42279
350	22824	42202
351	22898	42154
352	22967	42096
353	23031	42029
354	23100	41970
355	23172	41918
356	23235	41849
357	23303	41790
358	23381	41748
359	23455	41698
360	23515	41623
361	23579	41557
362	23647	41496
363	23711	41429
364	23775	41362
365	23846	41307
366	23922	41260
367	23989	41199
368	24037	41104
369	24101	41037
370	24168	40975
371	24227	40899
372	24350	40931
373	24404	40847
374	24458	40764
375	24516	40687
376	24586	40630
377	24648	40558
378	24721	40506
379	24793	40453
380	24860	40390
381	24934	40339
382	25005	40283
383	25065	40209
384	25139	40157
385	25227	40129
386	25321	40109
387	25412	40084
388	25479	40020
389	25563	39983
390	25659	39965
391	25739	39923
392	25819	39879
393	25955	39921
394	26035	39877
395	26107	39819
396	26183	39769
397	26250	39704
398	26309	39629
399	26388	39583
400	26451	39512
401	26512	39439
402	26581	39378
403	26660	39330
404	26735	39278
405	26806	39219
406	26871	39152
407	26953	39108
408	27023	39048
409	27099	38997
410	27156	38918
411	27220	38849
412	27304	38808
413	27361	38728
414	27445	38688
415	27520	38634
416	27594	38579
417	27660	38512
418	27724	38444
419	27794	38383
420	27871	38331
421	27927	38252
422	28013	38211
423	28078	38144
424	28153	38089
425	28220	38024
426	28296	37971
427	28367	37912
428	28433	37844
429	28498	37776
430	28567	37714
431	28625	37637
432	28701	37584
433	28758	37504
434	28821	37435
435	28866	37340
436	28919	37258
437	28988	37194
438	29056	37131
439	29117	37058
440	29186	36996
441	29246	36921
442	29307	36849
443	29372	36781
444	29440	36718
445	29495	36638
446	29557	36566
447	29614	36488
448	29683	36427
449	29737	36345
450	29791	36264
451	29856	36197
452	29923	36132
453	29982	36058
454	30045	35988
455	30108	35919
456	30165	35841
457	30227	35771
458	30286	35697
459	30357	35636
460	30412	35558
461	30473	35487
462	30534	35414
463	30608	35357
464	30672	35289
465	30741	35226
466	30795	35148
467	30857	35077
468	30924	35013
469	30993	34949
470	31053	34877
471	31112	34804
472	31171	34730
473	31235	34661
474	31297	34591
475	31363	34525
476	31424	34455
477	31489	34387
478	31558	34325
479	31621	34256
480	31683	34186
481	31753	34125
482	31818	34058
483	31867	33974
484	31937	33913
485	32000	33844
486	32067	33779
487	32135	33715
488	32202	33651
489	32270	33587
490	32336	33522
491	32402	33456
492	32457	33379
493	32510	33299
494	32583	33242
495	32638	33165
496	32699	33093
497	32753	33017
498	32814	32945
499	32875	32875
500	32928	32797
501	32979	32716
502	33041	32647
503	33102	32577
504	33164	32507
505	33214	32426
506	33272	32354
507	33344	32294
508	33411	32230
509	33469	32156
510	33529	32086
511	33595	32020
512	33665	31959
513	33732	31895
514	33797	31828
515	33860	31760
516	33918	31687
517	33984	31622
518	34048	31555
519	34102	31479
520	34160	31406
521	34217	31333
522	34277	31262
523	34343	31197
524	34405	31128
525	34467	31059
526	34531	30993
527	34598	30928
528	34654	30854
529	34722	30791
530	34790	30728
531	34855	30662
532	34911	30588
533	34981	30527
534	35041	30457
535	35110	30394
536	35174	30327
537	35245	30266
538	35310	30200
539	35373	30132
540	35442	30070
541	35514	30010
542	35589	29953
543	35651	29884
544	35726	29826
545	35794	29763
546	35855	29693
547	35914	29622
548	35983	29560
549	36051	29496
550	36115	29430
551	36182	29365
552	36243	29296
553	36314	29235
554	36384	29173
555	36455	29111
556	36519	29045
557	36595	28988
558	36665	28925
559	36730	28859
560	36799	28796
561	36867	28733
562	36940	28672
563	37009	28610
564	37084	28552
565	37139	28478
566	37210	28416
567	37279	28353
568	37348	28290
569	37415	28225
570	37484	28162
571	37558	28103
572	37626	28038
573	37690	27972
574	37761	27910
575	37822	27841
576	37870	27762
577	37935	27696
578	38002	27632
579	38068	27566
580	38141	27506
581	38201	27437
582	38271	27374
583	38333	27305
584	38409	27247
585	38476	27183
586	38544	27119
587	38605	27049
588	38674	26986
589	38728	26913
590	38789	26844
591	38848	26774
592	38917	26710
593	38984	26645
594	39057	26585
595	39120	26518
596	39183	26450
597	39251	26386
598	39308	26315
599	39372	26248
600	39435	26180
601	39497	26113
602	39567	26050
603	39637	25987
604	39706	25924
605	39764	25853
606	39833	25790
607	39884	25714
608	39946	25646
609	40002	25575
610	40066	25509
611	40139	25447
612	40211	25386
613	40277	25321
614	40338	25252
615	40397	25183
616	40469	25121
617	40527	25050
618	40614	24998
619	40696	24942
620	40772	24883
621	40847	24823
622	40924	24765
623	41004	24707
624	41087	24652
625	41152	24586
626	41226	24525
627	41315	24473
628	41364	24398
629	41436	24335
630	41511	24275
631	41583	24213
632	41654	24150
633	41707	24077
634	41779	24015
635	41840	23946
636	41913	23884
637	41996	23828
638	42076	23770
639	42149	23708
640	42227	23650
641	42308	23592
642	42387	23533
643	42488	23487
644	42556	23422
645	42627	23359
646	42685	23289
647	42757	23226
648	42835	23166
649	42910	23105
650	42980	23041
651	43044	22974
652	43120	22914
653	43200	22855
654	43275	22794
655	43353	22734
656	43418	22667
657	43489	22603
658	43558	22539
659	43614	22468
660	43690	22407
661	43765	22345
662	43840	22283
663	43909	22219
664	43977	22153
665	44045	22088
666	44109	22021
667	44179	21957
668	44246	21891
669	44324	21831
670	44382	21761
671	44449	21695
672	44503	21623
673	44572	21559
674	44648	21497
675	44719	21433
676	44790	21369
677	44853	21302
678	44914	21233
679	44979	21166
680	45045	21100
681	45107	21032
682	45168	20963
683	45234	20897
684	45293	20828
685	45368	20766
686	45423	20695
687	45480	20624
688	45548	20559
689	45605	20489
690	45676	20425
691	45723	20350
692	45795	20287
693	45863	20222
694	45929	20156
695	45984	20085
696	46045	20017
697	46106	19948
698	46172	19882
699	46283	19835
700	46355	19772
701	46423	19706
702	46489	19640
703	46563	19577
704	46634	19513
705	46696	19445
706	46763	19380
707	46818	19309
708	46882	19242
709	46951	19177
710	47010	19108
711	47075	19041
712	47138	18974
713	47203	18908
714	47264	18839
715	47338	18776
716	47414	18714
717	47495	18654
718	47554	18585
719	47622	18520
720	47698	18457
721	47764	18391
722	47834	18326
723	47893	18257
724	47960	18191
725	48027	18125
726	48099	18062
727	48165	17995
728	48226	17927
729	48295	17862
730	48372	17800
731	48435	17733
732	48506	17668
733	48580	17605
734	48641	17537
735	48707	17471
736	48767	17402
737	48819	17331
738	48889	17266
739	48953	17199
740	49025	17135
741	49088	17068
742	49160	17004
743	49227	16938
744	49295	16872
745	49366	16808
746	49439	16744
747	49516	16681
748	49584	16616
749	49661	16553
750	49727	16487
751	49794	16421
752	49852	16352
753	49923	16287
754	49979	16218
755	50038	16150
756	50107	16084
757	50180	16020
758	50250	15955
759	50320	15890
760	50376	15821
761	50445	15755
762	50514	15690
763	50577	15623
764	50639	15555
765	50708	15490
766	50772	15423
767	50877	15369
768	50942	15302
769	50997	15233
770	51057	15164
771	51120	15097
772	51183	15030
773	51252	14965
774	51305	14895
775	51371	14828
776	51430	14760
777	51504	14696
778	51576	14631
779	51655	14569
780	51722	14503
781	51787	14437
782	51848	14369
783	51911	14302
784	51981	14237
785	52042	14169
786	52113	14104
787	52176	14037
788	52245	13971
789	52307	13904
790	52370	13837
791	52432	13770
792	52504	13705
793	52573	13639
794	52640	13573
795	52709	13508
796	52773	13441
797	52845	13377
798	52914	13311
799	52986	13246
800	53056	13181
801	53126	13116
802	53198	13051
803	53268	12985
804	53329	12918
805	53392	12851
806	53452	12783
807	53513	12716
808	53575	12648
809	53639	12582
810	53691	12512
811	53758	12446
812	53819	12379
813	53902	12316
814	53976	12252
815	54047	12187
816	54116	12121
817	54182	12055
818	54242	11987
819	54302	11920
820	54369	11854
821	54436	11787
822	54495	11720
823	54553	11652
824	54620	11586
825	54715	11525
826	54778	11459
827	54850	11394
828	54923	11329
829	54984	11261
830	55055	11196
831	55123	11130
832	55195	11065
833	55258	10998
834	55329	10933
835	55456	10878
836	55514	10811
837	55576	10744
838	55639	10676
839	55698	10609
840	55763	10542
841	55821	10474
842	55887	10408
843	55948	10341
844	56020	10275
845	56087	10209
846	56162	10145
847	56225	10078
848	56292	10012
849	56359	9945
850	56424	9879
851	56497	9814
852	56577	9750
853	56634	9682
854	56717	9618
855	56786	9552
856	56852	9486
857	56924	9421
858	56999	9356
859	57077	9291
860	57149	9226
861	57224	9161
862	57288	9094
863	57367	9030
864	57438	8964
865	57505	8898
866	57581	8833
867	57647	8766
868	57718	8700
869	57788	8635
870	57861	8569
871	57932	8503
872	58010	8439
873	58083	8373
874	58157	8308
875	58233	8243
876	58306	8177
877	58383	8112
878	58456	8046
879	58530	7981
880	58609	7916
881	58680	7850
882	58756	7785
883	58823	7718
884	58883	7651
885	58960	7586
886	59025	7519
887	59091	7452
888	59157	7386
889	59226	7320
890	59298	7254
891	59381	7189
892	59453	7123
893	59538	7059
894	59622	6994
895	59704	6929
896	59768	6863
897	59831	6796
898	59892	6728
899	59950	6661
900	60018	6594
901	60077	6527
902	60133	6459
903	60196	6392
904	60263	6326
905	60320	6258
906	60385	6191
907	60448	6124
908	60520	6058
909	60587	5992
910	60657	5925
911	60724	5859
912	60780	5791
913	60846	5725
914	60906	5657
915	60954	5589
916	61018	5522
917	61063	5454
918	61125	5387
919	61185	5320
920	61247	5253
921	61306	5186
922	61372	5119
923	61433	5052
924	61496	4986
925	61556	4919
926	61608	4851
927	61668	4784
928	61741	4718
929	61808	4652
930	61878	4586
931	61931	4518
932	61992	4451
933	62048	4384
934	62100	4317
935	62170	4250
936	62245	4185
937	62309	4118
938	62380	4052
939	62447	3985
940	62514	3919
941	62580	3853
942	62650	3786
943	62709	3720
944	62771	3653
945	62830	3586
946	62887	3519
947	62931	3451
948	62986	3384
949	63038	3317
950	63100	3251
951	63171	3185
952	63231	3118
953	63290	3051
954	63355	2985
955	63427	2919
956	63498	2853
957	63562	2786
958	63623	2720
959	63679	2653
960	63742	2586
961	63793	2519
962	63839	2452
963	63895	2386
964	63951	2319
965	64008	2252
966	64069	2186
967	64131	2120
968	64192	2053
969	64265	1987
970	64313	1920
971	64374	1854
972	64433	1787
973	64483	1721
974	64543	1654
975	64593	1588
976	64653	1522
977	64711	1455
978	64785	1389
979	64851	1323
980	64910	1257
981	64968	1190
982	65032	1124
983	65099	1058
984	65166	992
985	65231	926
986	65295	860
987	65344	793
988	65412	727
989	65482	661
990	65555	595
991	65629	529
992	65689	463
993	65763	396
994	65819	330
995	65893	264
996	65962	198
997	66040	132
998	66109	66
999	66168	0
