iter	RMSE
0	4423.018376
1	4156.462296
2	3921.241434
3	3710.407585
4	3519.090921
5	3352.159972
6	3200.525543
7	3068.600942
8	2951.447999
9	2850.156271
10	2759.430573
11	2679.260153
12	2606.791411
13	2539.333759
14	2481.154614
15	2425.855953
16	2377.161422
17	2335.238141
18	2296.736507
19	2264.827197
20	2229.084357
21	2198.417397
22	2169.899134
23	2146.63269
24	2126.85886
25	2103.32814
26	2085.583472
27	2068.406911
28	2052.406238
29	2039.459047
30	2028.217279
31	2017.456834
32	2007.248566
33	1998.767487
34	1990.951804
35	1979.857098
36	1971.925541
37	1965.538902
38	1958.28636
39	1952.841199
40	1948.029768
41	1943.458159
42	1937.845388
43	1933.260505
44	1929.173558
45	1925.523945
46	1921.218086
47	1917.993641
48	1915.242873
49	1912.601983
50	1908.782782
51	1906.225095
52	1903.359474
53	1900.518278
54	1897.878031
55	1894.169883
56	1890.818924
57	1888.021226
58	1885.410976
59	1883.541924
60	1880.354869
61	1877.258877
62	1874.696615
63	1872.473931
64	1870.79
65	1868.201398
66	1866.586843
67	1864.505131
68	1861.92613
69	1860.598029
70	1858.669834
71	1856.82182
72	1854.251513
73	1852.638979
74	1851.171432
75	1850.04526
76	1848.452114
77	1847.278103
78	1845.538178
79	1843.660501
80	1841.909935
81	1840.673213
82	1838.579783
83	1836.995867
84	1835.642582
85	1833.815667
86	1832.123178
87	1829.518005
88	1827.670226
89	1826.153742
90	1825.177382
91	1823.686929
92	1822.336525
93	1820.903959
94	1819.552997
95	1818.381452
96	1816.015578
97	1814.296686
98	1812.616565
99	1811.062602
100	1808.991025
101	1807.769664
102	1806.243835
103	1805.263979
104	1803.517506
105	1802.453002
106	1801.503409
107	1800.592721
108	1799.200969
109	1798.247199
110	1796.831439
111	1795.455601
112	1794.771476
113	1794.255077
114	1793.225753
115	1792.162681
116	1791.086725
117	1790.41135
118	1788.855384
119	1787.338025
120	1785.855249
121	1785.057463
122	1783.912877
123	1783.536684
124	1782.495752
125	1781.523617
126	1780.413415
127	1779.500402
128	1778.97244
129	1778.623339
130	1777.523538
131	1775.738008
132	1775.062453
133	1774.184344
134	1772.972567
135	1771.538922
136	1770.678803
137	1770.394836
138	1769.510233
139	1769.132285
140	1768.828688
141	1768.191423
142	1767.505836
143	1766.552125
144	1765.233976
145	1764.787489
146	1763.884772
147	1763.271862
148	1762.59017
149	1761.262751
