iter	Logloss
0	0.6800248506
1	0.6671117394
2	0.6555708206
3	0.6446818301
4	0.6353061935
5	0.6257818002
6	0.6168703045
7	0.6084241755
8	0.6003879276
9	0.5928812478
10	0.5857445494
11	0.5783178534
12	0.5724152809
13	0.5669822728
14	0.5617215434
15	0.5547133374
16	0.5482963812
17	0.5436883895
18	0.5393289485
19	0.5351852047
20	0.5315460889
21	0.5277684751
22	0.5242821274
23	0.5211124307
24	0.5171763426
25	0.5140860479
26	0.510859342
27	0.507873224
28	0.5051418748
29	0.501638668
30	0.4992745014
31	0.496801867
32	0.4945727305
33	0.4924099176
34	0.4904427009
35	0.4878490523
36	0.4860750785
37	0.4842735314
38	0.4828556633
39	0.4811257564
40	0.478663297
41	0.4772792375
42	0.4754722369
43	0.4739498633
44	0.4722977259
45	0.4711845401
46	0.4698763427
47	0.4682308612
48	0.4669180738
49	0.4657080755
50	0.4644337424
51	0.462759855
52	0.4613671662
53	0.4597392015
54	0.4587544986
55	0.4575104173
56	0.456438226
57	0.4554866773
58	0.4544596922
59	0.4535652531
60	0.4528247924
61	0.4521359984
62	0.4515654264
63	0.4506507467
64	0.4494232114
65	0.4486571951
66	0.4476732353
67	0.4470100749
68	0.4463208523
69	0.4456759801
70	0.4446848133
71	0.4438956931
72	0.4428185445
73	0.4427499692
74	0.4419489602
75	0.4413849554
76	0.440833183
77	0.4401959167
78	0.4394087859
79	0.4385766479
80	0.438211248
81	0.437845919
82	0.4373371524
83	0.4369077462
84	0.4363294555
85	0.4354902236
86	0.4346673605
87	0.4340165333
88	0.43339986
89	0.4326506452
90	0.4318820657
91	0.4312551223
92	0.4307941547
93	0.430398557
94	0.4298595481
95	0.4291351345
96	0.4285778386
97	0.4278333625
98	0.4272281264
99	0.4267965055
100	0.4264657278
101	0.4259145789
102	0.4254983817
103	0.4248828549
104	0.4244345543
105	0.4239647172
106	0.4234951703
107	0.4231210679
108	0.4226153304
109	0.4219099085
110	0.4212028266
111	0.4205429666
112	0.4201430386
113	0.4197382327
114	0.4193252969
115	0.4189744448
116	0.4184719593
117	0.4181097272
118	0.4177723907
119	0.4173825236
120	0.4169144509
121	0.4159224445
122	0.4156147205
123	0.415181119
124	0.4148802747
125	0.414457514
126	0.4140836251
127	0.4135838082
128	0.4131609379
129	0.4128560513
130	0.4124997381
131	0.4120700755
132	0.4117547314
133	0.4112220991
134	0.4107431796
135	0.4103457213
136	0.4098304514
137	0.4096349976
138	0.4091153524
139	0.4084380776
140	0.4082018757
141	0.4080225446
142	0.4076575456
143	0.4071730202
144	0.4068187552
145	0.406396968
146	0.4060362893
147	0.4055312889
148	0.4050406017
149	0.4045742984
150	0.404157836
151	0.4037110996
152	0.4032702343
153	0.4028774369
154	0.4023270929
155	0.4021129692
156	0.4017410375
157	0.4012815979
158	0.4005661551
159	0.4002092934
160	0.3998896786
161	0.3995061399
162	0.3992031854
163	0.3988817839
164	0.398611375
165	0.3983061567
166	0.3979406522
167	0.3976327162
168	0.3972151591
169	0.3968855457
170	0.3965558939
171	0.3963772033
172	0.3960364758
173	0.395739483
174	0.3953239502
175	0.3950325156
176	0.3947515496
177	0.3943820175
178	0.3941171131
179	0.3935786357
180	0.3931598833
181	0.3929908235
182	0.3926946354
183	0.3923528031
184	0.3921618873
185	0.3920091717
186	0.391724512
187	0.3914585339
188	0.3911632691
189	0.3907724686
190	0.3905050927
191	0.3897606198
192	0.3894725632
193	0.3892592081
194	0.3889363139
195	0.3886671147
196	0.3881384865
197	0.3878134356
198	0.3876092485
199	0.3872905902
200	0.3870570524
201	0.3868236021
202	0.3863376358
203	0.3861614666
204	0.3854418178
205	0.3852497763
206	0.3850131845
207	0.3846171077
208	0.3842143088
209	0.3839766554
210	0.3837756524
211	0.3834946077
212	0.3831444343
213	0.3830416344
214	0.3827507095
215	0.3825127193
216	0.3822317421
217	0.381971896
218	0.3817238275
219	0.3813701291
220	0.3810478461
221	0.3804997556
222	0.3800883792
223	0.3797847304
224	0.379527955
225	0.3793109285
226	0.3790620423
227	0.3786703682
228	0.3782932317
229	0.3780369819
230	0.377790386
231	0.3774962148
232	0.3770470139
233	0.3768637982
234	0.3764462418
235	0.3761761516
236	0.3759309632
237	0.3755738301
238	0.3751857584
239	0.3750271283
240	0.3748342772
241	0.3746662354
242	0.3744657528
243	0.3743011605
244	0.3739529505
245	0.3736563275
246	0.3734148642
247	0.3731281055
248	0.3729124154
249	0.3724699846
250	0.3720888633
251	0.3717595331
252	0.3714485714
253	0.3712101311
254	0.3709439831
255	0.3705511991
256	0.3703356601
257	0.3700378877
258	0.3697105872
259	0.3695446616
260	0.3693167149
261	0.3689090405
262	0.368665217
263	0.3684420016
264	0.3681799846
265	0.3679441731
266	0.3678454417
267	0.3676015272
268	0.3671793225
269	0.3670021693
270	0.3668342722
271	0.3664385023
272	0.3662588868
273	0.3661733378
274	0.3658634542
275	0.3655452364
276	0.3652428215
277	0.3650281773
278	0.3646971696
279	0.3645365338
280	0.3641893732
281	0.3637978257
282	0.3635754758
283	0.3631510776
284	0.362974831
285	0.3628047387
286	0.3625703272
287	0.362360724
288	0.3621695189
289	0.3617248975
290	0.3615374072
291	0.3609114701
292	0.3607354494
293	0.3604810751
294	0.3602478012
295	0.3600135178
296	0.3598415181
297	0.3596353247
298	0.3594312765
299	0.3591848518
300	0.3587466291
301	0.3585450914
302	0.3583106314
303	0.3581012794
304	0.3579215663
305	0.3577812095
306	0.357545469
307	0.3571957044
308	0.3569023546
309	0.3566074286
310	0.356435148
311	0.3562432507
312	0.3557335619
313	0.3554768595
314	0.3552250798
315	0.3545741341
316	0.3543842281
317	0.3541440169
318	0.3537980834
319	0.353484546
320	0.3531442428
321	0.3529475635
322	0.3527732287
323	0.3524168499
324	0.3521847951
325	0.3519886549
326	0.3518014191
327	0.3514979168
328	0.3513062693
329	0.3509409407
330	0.35076947
331	0.3506134501
332	0.3504212675
333	0.3500806695
334	0.3498975018
335	0.34975612
336	0.3495517669
337	0.3493188433
338	0.3488492711
339	0.3487042478
340	0.3483499035
341	0.3481550981
342	0.347959968
343	0.3478148658
344	0.3475861825
345	0.3472484542
346	0.347162506
347	0.3469188605
348	0.346776623
349	0.3465434949
350	0.3463637965
351	0.3462110741
352	0.3459858892
353	0.3457689048
354	0.3454817527
355	0.3452245921
356	0.3450779262
357	0.3448805294
358	0.3446970837
359	0.3442932784
360	0.3440916693
361	0.3439602333
362	0.3437382572
363	0.3434357235
364	0.3431143619
365	0.3426615465
366	0.3423089779
367	0.3421134947
368	0.3418793099
369	0.3416475971
370	0.3413153012
371	0.3409703864
372	0.3405778181
373	0.3404052675
374	0.340199116
375	0.3400302129
376	0.3397477992
377	0.3395456969
378	0.3393502139
379	0.3391907755
380	0.3389614591
381	0.338461346
382	0.3382401496
383	0.338088945
384	0.3379495054
385	0.3377547697
386	0.3375366925
387	0.3371308598
388	0.3368416229
389	0.336673659
390	0.3364047993
391	0.3356227799
392	0.3354869601
393	0.3353350684
394	0.3351089343
395	0.3349548394
396	0.3347660668
397	0.334639929
398	0.3344537519
399	0.3342623196
400	0.334102369
401	0.3337428177
402	0.333520328
403	0.3332102425
404	0.3330181756
405	0.3327372293
406	0.3325357754
407	0.3322632452
408	0.3318585864
409	0.3316904915
410	0.3314128076
411	0.3312245991
412	0.3310672074
413	0.3308911572
414	0.3307010469
415	0.330437466
416	0.330334614
417	0.3301057272
418	0.3299078461
419	0.3296694274
420	0.3294858432
421	0.3292269842
422	0.3289798249
423	0.3286944751
424	0.3284582915
425	0.3282685849
426	0.3280826219
427	0.3278483902
428	0.3275206014
429	0.3273464221
430	0.327083755
431	0.3268924665
432	0.3267475072
433	0.3265814211
434	0.3263667177
435	0.3261717028
436	0.3260302795
437	0.3258195909
438	0.3256775966
439	0.325278986
440	0.3251571541
441	0.3249675155
442	0.3248510168
443	0.3247001015
444	0.3244913587
445	0.3242600295
446	0.3238942261
447	0.323733559
448	0.3235078315
449	0.3233673749
450	0.3231656235
451	0.3228413812
452	0.3226683627
453	0.3225446221
454	0.3224065283
455	0.3221106028
456	0.321883229
457	0.3216958162
458	0.3215558828
459	0.3213167638
460	0.3211307104
461	0.3209490099
462	0.3207424329
463	0.3205978814
464	0.3203293614
465	0.3201234051
466	0.3199864787
467	0.3196469968
468	0.3195038921
469	0.3192836585
470	0.3189224967
471	0.3185643109
472	0.3183784627
473	0.318175196
474	0.3178395415
475	0.3176835696
476	0.3175411532
477	0.3173599354
478	0.3171834423
479	0.3169331447
480	0.3167280895
481	0.3165530981
482	0.3163874417
483	0.3162452935
484	0.3160670644
485	0.3158744753
486	0.3156739922
487	0.3155185834
488	0.3152507126
489	0.3151459719
490	0.3149309945
491	0.3145977315
492	0.3142409228
493	0.3140378497
494	0.3137389464
495	0.31330591
496	0.313119845
497	0.3129894191
498	0.3128286031
499	0.3126385068
500	0.3124648096
501	0.3123429355
502	0.3120344102
503	0.3118320672
504	0.3116912428
505	0.3115625679
506	0.3113387267
507	0.3111271943
508	0.3110316513
509	0.3108514304
510	0.3106921179
511	0.3104931716
512	0.3103900781
513	0.3099079479
514	0.3097693102
515	0.3095986316
516	0.3094051486
517	0.3091615897
518	0.3090006704
519	0.3086866845
520	0.3085370611
521	0.3084136594
522	0.3082411875
523	0.308089314
524	0.3078983361
525	0.3076911702
526	0.3073761671
527	0.3072601069
528	0.3065209826
529	0.3061126406
530	0.305942854
531	0.3058238366
532	0.3056178448
533	0.3053711896
534	0.3051066551
535	0.3049336517
536	0.3047358474
537	0.3043664743
538	0.3041517288
539	0.3039318665
540	0.3037595706
541	0.3036007427
542	0.3033063141
543	0.3031981606
544	0.303062994
545	0.3028663297
546	0.302764845
547	0.3026620831
548	0.3023400987
549	0.3022158504
550	0.3021352667
551	0.3017352234
552	0.3015095073
553	0.3012742938
554	0.3010545789
555	0.3008808104
556	0.3007798017
557	0.3006096579
558	0.3002323784
559	0.3001241562
560	0.299916054
561	0.2997215257
562	0.2993541566
563	0.2990561478
564	0.2987065787
565	0.2984968269
566	0.2982707142
567	0.2981466308
568	0.2979828683
569	0.2978276928
570	0.2977241036
571	0.2975173554
572	0.297376177
573	0.2971758952
574	0.2970296051
575	0.2968051446
576	0.2965801539
577	0.2964635177
578	0.2963387414
579	0.2958482292
580	0.2957055124
581	0.2952584448
582	0.2949913421
583	0.2947823685
584	0.29465949
585	0.2943715258
586	0.2940913471
587	0.2938213843
588	0.2937203631
589	0.2935499782
590	0.2934517853
591	0.2933541562
592	0.2932700843
593	0.2931165076
594	0.2929559789
595	0.2928010608
596	0.2926057983
597	0.2924155011
598	0.2921612903
599	0.2919728672
